epoch,train_loss,test_loss
1,0.018660686340402154,0.01897547272965312
2,0.014611431556370328,0.0157516373321414
3,0.013120882169288747,0.013979694060981273
4,0.011366889713441625,0.012001697579398752
5,0.009440638020853785,0.009946455247700214
6,0.005245524433934513,0.0056854004738852385
7,0.0055887393263059065,0.005658836057409644
8,0.005649331551702583,0.006215231097303331
9,0.0050606602583737935,0.005150176165625453
10,0.004669036436825991,0.004794509615749121
11,0.004156439912313705,0.004410716821439564
12,0.0039564496029497066,0.004134433576837182
13,0.0040108389358091,0.004266805900260806
14,0.004050356522202492,0.004367895261384547
15,0.0036455333041136755,0.003887634165585041
16,0.00330697669483283,0.003587745176628232
17,0.003968275017926798,0.004265355505049228
18,0.0033160538700244884,0.0035316957160830497
19,0.003769151774673339,0.00396798811852932
20,0.004225766614956015,0.0044429094530642034
21,0.0035919500761391484,0.003977287909947336
22,0.00436816222157658,0.004738062107935548
23,0.00418942879392382,0.0045443940442055466
24,0.0034186015877982275,0.003609337517991662
25,0.004012750708224142,0.004343683528713882
26,0.0031332673710387417,0.0033810667460784315
27,0.004221518629449693,0.004478646302595734
28,0.004273789852638455,0.004414658946916461
29,0.0037419231211328332,0.004032166907563806
30,0.003610665390870589,0.0039721053093671795
31,0.0035580539774587925,0.003865784709341824
32,0.0034415586108533557,0.0037803634302690627
33,0.0033973267849753885,0.0036894956370815634
34,0.0038970340875333505,0.0042710303328931335
35,0.003974910300252411,0.004398074024356902
36,0.004086488477118752,0.004363362840376794
37,0.004057470700867912,0.00429986089002341
38,0.003346380968030323,0.0036501813679933547
39,0.003622185542960377,0.003924940153956414
40,0.004862791387473836,0.005095078237354755
41,0.003662857151699855,0.0038909627124667167
42,0.004065003335092436,0.004347311658784747
43,0.003167547854622278,0.003445228817872703
44,0.0035186358645339223,0.003822211059741676
45,0.0034537835950579714,0.003583277738653123
46,0.0033142239238847706,0.0036160409683361648
47,0.00451151263927493,0.004964359570294619
48,0.003167819553602706,0.0033764352789148687
49,0.004117275519734796,0.004441045317798853
50,0.004187669303706463,0.004396830778568983
51,0.0035401383106706337,0.003871990949846804
52,0.003977239913964535,0.004204766452312469
53,0.003548335690763505,0.0037600931013002993
54,0.0036622139762210494,0.003909148741513491
55,0.00298910145099987,0.003272841335274279
56,0.0039477884166819206,0.004190229531377554
57,0.0043417298782835985,0.004592668428085744
58,0.003303482540992691,0.0035157138016074898
59,0.0032330351909074712,0.0034990599378943443
60,0.0034995395799770077,0.003715766267850995
61,0.0034380819456761376,0.00365718356333673
62,0.0036719511043937767,0.003961750818416476
63,0.004072952163679634,0.0042913362849503756
64,0.004094716865459785,0.004437619470991194
65,0.003896894533296718,0.004144214931875468
66,0.0034317871363943116,0.0037620363757014273
67,0.005129743222256794,0.005409449315629899
68,0.0032188873203909574,0.003471762943081558
69,0.003298112945905065,0.0035058667650446295
70,0.0036066070199012755,0.003979100030846894
71,0.0030203755602569264,0.0033292629523202777
72,0.0031434248379596016,0.0034288539085537196
73,0.0036656742477241683,0.003952011163346469
74,0.0035689459990381318,0.0038601809181272985
75,0.003965961900265778,0.004195506172254682
76,0.0035069498658070668,0.0036013641394674776
77,0.0047167685978552875,0.004997985647059977
78,0.003957540699390366,0.004148361622355878
79,0.0036050308304017083,0.0038416710682213306
80,0.0030559265958693097,0.0033001759089529513
81,0.00413595142582541,0.004419084591791034
82,0.0039033672827131606,0.00416004688013345
83,0.0034530571196228267,0.0037479585502296687
84,0.003918362140436383,0.0042812785832211375
85,0.004243036838905776,0.004534803656861186
86,0.003985080142121981,0.004115851898677647
87,0.003907711069811793,0.004138501407578587
88,0.0043749325621106165,0.004707903089001775
89,0.003016023272100617,0.0032854186138138175
90,0.003581753994940835,0.0036758553702384233
91,0.00399154540945721,0.004157642205245793
92,0.0037208896212498933,0.003898850758560002
93,0.0036567722844398198,0.003984813555143773
94,0.003286697455298375,0.0035269994754344226
95,0.00355163843042272,0.003750492609106004
96,0.0033167055808007717,0.003629189357161522
97,0.0035731993163661924,0.003778376919217408
98,0.004305853993248413,0.00461958774831146
99,0.004395884017953102,0.004786313138902187
100,0.0034334628325750063,0.0037726225098595025
101,0.0033153866948422922,0.0036715005058795213
102,0.004052856963073068,0.004392364365048707
103,0.0032669690273263875,0.0035238568671047688
104,0.003425626055447056,0.0037581174401566386
105,0.0032618894132182877,0.003604458551853895
106,0.0036234518252860975,0.003841871744953096
107,0.0036410352064515736,0.003897300409153104
108,0.003814359431100242,0.004072247049771249
109,0.002962835893199286,0.0031584601616486906
110,0.00345118493800435,0.0037510924972593783
111,0.0042176720576689525,0.004341400391422212
112,0.0036572801277917973,0.003979987604543567
113,0.0038916162050822204,0.0040822927840054035
114,0.0036459766177679687,0.003921215306036174
115,0.0031747842769083733,0.003420583717525005
116,0.003527791105101214,0.003784349374473095
117,0.00380101545357748,0.0041143297217786316
118,0.0032317874638144585,0.0035565276630222797
119,0.0033553498892990104,0.0035909778904169797
120,0.0035843712113359395,0.0038831161335110666
121,0.004264784769689226,0.004564378852955997
